Radius,Mass,SolarMass,Comments
8.9,2.0122393920966677e+28,0.010116839578163235,
8.9,2.0611920378597e+28,0.010362956449772247,m_chi = 2 GeV
8.8,2.1092266910925076e+28,0.010604457974321304,
8.7,2.157491432702569e+28,0.010847116303180337,m_mu = 10 MeV
8.7,2.20758960405122e+28,0.011098992478889994,
8.6,2.2566352300960748e+28,0.01134557682300691,alpha = 1e-05
8.5,2.306143930928298e+28,0.011594489346044736,
8.5,2.3571962259662807e+28,0.011851162523711817,
8.4,2.407294756608407e+28,0.012103040505824066,
8.4,2.4591595621793593e+28,0.012363798703767517,
8.3,2.5099748086464253e+28,0.012619280083692433,
8.2,2.561412562041009e+28,0.012877891211870331,
8.2,2.6140182758761057e+28,0.013142374438793894,
8.1,2.6660113891603013e+28,0.013403777723279543,
8.1,2.7194511533153315e+28,0.013672454265034346,
8.0,2.7721695024196574e+28,0.01393750378290426,
8.0,2.8260911337849956e+28,0.014208602985344371,
7.9,2.879558570321257e+28,0.014477418654204408,
7.9,2.9342264062668283e+28,0.014752269513659266,
7.8,2.9882781608341006e+28,0.01502402293028708,
7.8,3.0436012447900037e+28,0.015302168148768242,
7.7,3.0983140068589246e+28,0.015577244881140897,
7.7,3.154219756073392e+28,0.015858319537824996,
7.6,3.209698121437251e+28,0.01613724545720086,
7.6,3.2660360427037027e+28,0.016420492924603833,
7.5,3.3223123716149024e+28,0.016703430727073414,
7.5,3.3793320905608518e+28,0.01699010603600227,
7.4,3.436167708234475e+28,0.01727585574778519,
7.4,3.4939111263274e+28,0.01756616956424032,
7.4,3.5519876026578095e+28,0.017858157881638054,
7.3,3.6097602324322142e+28,0.018148618564264526,
7.3,3.668105175290661e+28,0.018441956637962095,
7.2,3.726655919919574e+28,0.018736329411360348,
7.2,3.7859390716988267e+28,0.01903438447309616,
7.2,3.8452335564785563e+28,0.019332496513215464,
7.1,3.9047520865738722e+28,0.019631734975233142,
7.1,3.9647220233175846e+28,0.019933242952828476,
7.0,4.024346187103032e+28,0.020233012504288744,
7.0,4.085315546934355e+28,0.020539545233455782,
7.0,4.146012572129954e+28,0.0208447087588233,
6.9,4.206826522862214e+28,0.021150460145109167,
6.9,4.268481900235946e+28,0.021460441931804655,
6.9,4.3298180790930595e+28,0.02176881889941206,
6.8,4.391742017069597e+28,0.022080150915382585,
6.8,4.454236516771534e+28,0.02239435151720228,
6.8,4.516222855422501e+28,0.022705997262053797,
6.7,4.578973370514945e+28,0.023021485020185743,
6.7,4.642362326995846e+28,0.023340182639496457,
6.7,4.7052978200076265e+28,0.023656600402250507,
6.6,4.768693087580387e+28,0.02397532975153538,
6.6,4.8328756102347925e+28,0.02429801714547407,
6.6,4.896746501227168e+28,0.02461913776383694,
