Radius,Mass,SolarMass,Comments
6.3,2.002883448918066e+28,0.01006980115092039,
6.3,2.106000380792232e+28,0.010588237208608506,m_chi = 3 GeV
6.2,2.2085858493637276e+28,0.011104001253714064,
6.2,2.317530906774727e+28,0.011651739098917683,m_mu = 12 MeV
6.2,2.4304130766067057e+28,0.012219271375599325,
6.1,2.543130692413501e+28,0.012785976331892915,alpha = 0.0005
6.1,2.6619275617144784e+28,0.013383245659700746,
6.1,2.7839662744786554e+28,0.013996813848560358,
6.0,2.9074374837520043e+28,0.014617584131483178,
6.0,3.0365552508229696e+28,0.015266743342498588,
6.0,3.168805634441141e+28,0.015931652259633687,
6.0,3.3046735624201075e+28,0.016614748931222258,
5.9,3.442338964889119e+28,0.01730688267918109,
5.9,3.58559869877384e+28,0.01802714277915455,
5.9,3.7322209227679367e+28,0.018764308309542163,
5.9,3.8815259177407682e+28,0.01951496187903855,
5.8,4.034050013278787e+28,0.020281799966208075,
5.8,4.192335693940139e+28,0.021077605298844337,
5.8,4.353752266713823e+28,0.02188915166774169,
5.8,4.518451508457231e+28,0.02271720215413389,
5.7,4.68376258346073e+28,0.02354832872529276,
5.7,4.857883522843444e+28,0.024423748229479354,
5.7,5.035258655217056e+28,0.02531552868384643,
5.7,5.215666909136239e+28,0.02622255861808064,
5.7,5.399490254979783e+28,0.027146758446353857,
5.7,5.585482049608106e+28,0.028081860480684288,
5.6,5.776448090335716e+28,0.02904197129379445,
5.6,5.9736316193605955e+28,0.030033341474915008,
5.6,6.174514098456624e+28,0.03104330869007855,
5.6,6.378258108648866e+28,0.032067662688028485,
5.6,6.584888925958118e+28,0.033106530547803506,
5.6,6.794229026158682e+28,0.034159019739359885,
5.5,7.009641562091465e+28,0.035242039025095345,
5.5,7.230918952572029e+28,0.03635454475903483,
5.5,7.455560543665065e+28,0.037483964523202934,
5.5,7.684047759583404e+28,0.03863271875104778,
5.5,7.915575843829061e+28,0.03979676140688316,
5.5,8.149083005291514e+28,0.04097075417441686,
5.4,8.385272007879041e+28,0.04215823030607864,
5.4,8.631515435234046e+28,0.043396256587400935,
5.4,8.881640582882889e+28,0.04465379880785766,
5.4,9.135103008280996e+28,0.04592811969975362,
5.4,9.391534403593799e+28,0.04721736753943589,
5.4,9.651170941847767e+28,0.04852272972271376,
5.4,9.913118246446684e+28,0.049839709635227165,
5.3,1.0175911377854844e+29,0.05116094207066286,
5.3,1.0451424463301194e+29,0.05254612600955854,
5.3,1.0730166329249927e+29,0.05394754313348379,
5.3,1.1012452293963238e+29,0.05536677875295745,
5.3,1.1297796429647218e+29,0.056801389792092594,
5.3,1.158686791412582e+29,0.05825474064417204,
5.3,1.1878477603571345e+29,0.05972085270774934,
5.3,1.2171554051811274e+29,0.06119433912423968,
5.2,1.2466174136889933e+29,0.06267558640970303,
5.2,1.2774241474686595e+29,0.0642244418033514,
5.2,1.3085399234446325e+29,0.06578883476343049,
5.2,1.3400294545398012e+29,0.06737201883055813,
5.2,1.3718265106916073e+29,0.06897066418761223,
5.2,1.4039390803486963e+29,0.0705851724659978,
5.2,1.436255605713899e+29,0.07220993492779783,
5.2,1.468773465514064e+29,0.07384481978451804,
5.1,1.5007058893371988e+29,0.07545027095712412,
