Radius,Mass,SolarMass,Comments
53.0,2.0397960774096266e+28,0.010255385004573285,
52.5,2.163275300665828e+28,0.010876195579013714,m_chi = 1 GeV
51.9,2.2861569141309616e+28,0.011494001579341183,
51.3,2.411124042281381e+28,0.012122292821927507,m_mu = 14 MeV
50.7,2.538134644542448e+28,0.012760857941389881,
50.1,2.6671328963723126e+28,0.013409416271354009,alpha = 0.0001
49.6,2.8005088578818607e+28,0.014079984202523179,
49.0,2.93333955549142e+28,0.014747810736507891,
48.5,3.0703993813501165e+28,0.015436899855958352,
48.0,3.209252827929598e+28,0.016135006676368014,
47.4,3.347675281413266e+28,0.01683094661344025,
46.9,3.490151513052162e+28,0.017547267536712728,
46.4,3.6343983310244915e+28,0.01827249035205878,
46.0,3.7825059471661796e+28,0.019017123917376467,
45.5,3.930255551277315e+28,0.019759957522761763,
45.0,4.079768921157168e+28,0.020511658728794208,
44.6,4.2329994306802296e+28,0.02128204841970955,
44.1,4.386003921861274e+28,0.022051301769036066,
43.7,4.542649473130101e+28,0.022838861101709906,
43.3,4.700952542642174e+28,0.023634753859437776,
42.9,4.8609540224667545e+28,0.024439185633317016,
42.5,5.022620550973269e+28,0.02525198869267606,
42.1,5.185970566126098e+28,0.026073255737185004,
41.7,5.350970196864819e+28,0.026902816474936243,
41.4,5.51932939899201e+28,0.027749267968788384,
41.0,5.687636035942007e+28,0.028595455183217728,
40.6,5.857589983533176e+28,0.02944992450242924,
40.3,6.030790912431235e+28,0.03032071851398308,
39.9,6.203998177932228e+28,0.03119154438377188,
39.6,6.3803951143011025e+28,0.03207840680895476,
39.3,6.558381608583645e+28,0.03297326097829886,
39.0,6.737939583591055e+28,0.03387601600598821,
38.7,6.919062641369797e+28,0.034786639725338346,
38.4,7.10174065442125e+28,0.0357050812188097,
38.1,7.285965676207308e+28,0.03663130053397339,
37.8,7.4717582477196905e+28,0.03756540094378929,
37.5,7.65910020623416e+28,0.038507291132398994,
37.2,7.847948303756103e+28,0.03945675366393214,
36.9,8.03833952542918e+28,0.04041397448682343,
36.7,8.231584860870057e+28,0.04138554480075443,
36.4,8.42499424832383e+28,0.04235793991113036,
36.1,8.619889833798774e+28,0.04333780710808835,
35.9,8.817589743104703e+28,0.044331773469606345,
35.6,9.015449192713517e+28,0.045326541944261015,
35.4,9.216048535930849e+28,0.04633508565073327,
35.2,9.418102728213697e+28,0.04735094383214528,
34.9,9.620376438056133e+28,0.04836790567147376,
34.7,9.825286227630537e+28,0.0493981208025668,
34.5,1.003160787012734e+29,0.05043543423895093,
34.3,1.0239317595208319e+29,0.05147972647163558,
34.0,1.0447345313957655e+29,0.052525617465850445,
33.8,1.0657885042666856e+29,0.05358413797218127,
33.6,1.0869820941801834e+29,0.05464967793766633,
33.4,1.1083136622745044e+29,0.055722154966038426,
33.2,1.1297826738109995e+29,0.05680154217249871,
