Radius,Mass,SolarMass,Comments
59.5,2.0518845382923344e+28,0.01031616158015251,
59.0,2.220037231255327e+28,0.011161574817774392,m_chi = 1000 MeV
58.5,2.3951794912428326e+28,0.01204212916663063,
58.0,2.5771051226141605e+28,0.01295678794677808,m_mu = 10 MeV
57.5,2.765686423104551e+28,0.013904909115658878,
56.9,2.9576502121767813e+28,0.01487003626031564,alpha = 0.001
56.4,3.159404822327336e+28,0.01588438824699515,
55.9,3.367695177429132e+28,0.016931599685415445,
55.3,3.579518991484712e+28,0.0179965761261172,
54.8,3.801007436833952e+28,0.01911014297050755,
54.3,4.029155819690863e+28,0.020257193663604137,
53.8,4.263991214544594e+28,0.021437864326518823,
53.3,4.505615282689661e+28,0.02265266607687109,
52.8,4.754073417240491e+28,0.023901827135447414,
52.4,5.012174523154435e+28,0.025199469699117318,
51.9,5.2745143048537785e+28,0.02651842284994358,
51.5,5.546552292780316e+28,0.027886135207543065,
51.0,5.823094367818641e+28,0.029276492548107793,
50.6,6.109411453236886e+28,0.03071599524000445,
50.2,6.402953025106873e+28,0.032191820136283925,
49.8,6.703834789713821e+28,0.03370454896789251,
49.4,7.012110739263699e+28,0.035254453188857206,
49.0,7.3278641454099965e+28,0.03684195146008042,
48.6,7.651197303844098e+28,0.03846755808870839,
48.3,7.98446926795848e+28,0.04014313357445188,
47.9,8.323120092545702e+28,0.04184575209927451,
47.6,8.67180200323476e+28,0.04359880343506666,
47.2,9.02607117299298e+28,0.045379945565575563,
46.9,9.390462598439737e+28,0.047211978876016775,
46.6,9.762787229183309e+28,0.04908389758262095,
46.3,1.0143145495867987e+29,0.050996206615726423,
46.0,1.0531601086163898e+29,0.05294922617478078,
45.7,1.0928223926195736e+29,0.05494330782401073,
45.4,1.1333065134249124e+29,0.05697870856837166,
45.1,1.1746210460681112e+29,0.05905585953082509,
44.8,1.2167707934021955e+29,0.06117500218211138,
44.5,1.2597615047703966e+29,0.06333642557920545,
44.3,1.303795699720364e+29,0.06555031170037023,
44.0,1.3484902070859254e+29,0.06779739603247488,
43.8,1.394232126005483e+29,0.070097140573428,
43.5,1.4406520497666212e+29,0.07243097283894526,
43.3,1.4881267713964257e+29,0.0748178366715146,
43.0,1.536294662837643e+29,0.07723955067057028,
42.8,1.585522798265063e+29,0.07971457004852,
42.6,1.6356391361092738e+29,0.08223424515380963,
42.3,1.6864695657129855e+29,0.08478982230834517,
42.1,1.7383760384146547e+29,0.08739949916614653,
41.9,1.7911790633167725e+29,0.0900542515493601,
41.7,1.844889487942165e+29,0.09275462483369355,
41.5,1.8995107302781916e+29,0.0955007908636597,
41.3,1.9550463803726765e+29,0.09829293013437286,
41.1,2.0115046413339367e+29,0.10113145506957952,
40.9,2.068887353713983e+29,0.1040164582058312,
40.7,2.1271987321487568e+29,0.10694815144035981,
40.5,2.1864423624535317e+29,0.10992671505548172,
40.4,2.246781103977448e+29,0.11296033705266204,
40.2,2.307905702347408e+29,0.11603346919795916,
40.0,2.369976123152771e+29,0.11915415400466418,
39.8,2.4329912625495487e+29,0.1223223359753418,
39.7,2.4971154301575233e+29,0.12554627602601925,
39.5,2.562045585843507e+29,0.1288107383531175,
39.3,2.6279230655114167e+29,0.13212282883415868,
39.2,2.6949307828141524e+29,0.13549174373122938,
39.0,2.76273819014254e+29,0.13890086426056006,
38.9,2.831681895710653e+29,0.1423671139120489,
38.7,2.9014280670839974e+29,0.1458737087523377,
38.6,2.9723113580770414e+29,0.14943747401091206,
38.4,3.0440162459745967e+29,0.1530425463033985,
38.3,3.1168552416244028e+29,0.15670463758795386,
38.1,3.1905281976899925e+29,0.16040865750075375,
38.0,3.2653195041775524e+29,0.16416890418187793,
37.8,3.340973556769281e+29,0.16797252673550936,
37.7,3.417748126840352e+29,0.1718324850095702,
37.6,3.4955075232555845e+29,0.1757419569258715,
37.4,3.574128167482449e+29,0.17969472938574405,
37.3,3.653883408357775e+29,0.18370454541768602,
37.2,3.7346275040691865e+29,0.18776407763042666,
37.1,3.816356521109157e+29,0.19187312826089276,
36.9,3.8989677691309804e+29,0.19602653439572548,
36.8,3.982713872233992e+29,0.2002369970957261,
36.7,4.0674569090189695e+29,0.2044975821527888,
36.6,4.153193649364023e+29,0.20880812716762304,
36.4,4.239795452657733e+29,0.21316216453784478,
36.3,4.327541066242886e+29,0.21757370871004955,
36.2,4.416294299947954e+29,0.22203591251623697,
36.1,4.5060536096568946e+29,0.22654869832362465,
36.0,4.59680609013305e+29,0.23111141730181245,
35.9,4.6885656793315385e+29,0.2357247702026917,
35.8,4.7813216535068725e+29,0.24038821787364867,
35.7,4.875087092723643e+29,0.24510241793482365,
35.5,4.9697297815043046e+29,0.24986072305200122,
35.4,5.065497136162264e+29,0.25467557245662464,
35.3,5.162268755991902e+29,0.25954091282010566,
35.2,5.2600389793564076e+29,0.2644564594950431,
35.1,5.3588120343899596e+29,0.2694224250573132,
35.0,5.458574786108078e+29,0.27443814912559467,
34.9,5.559348691488092e+29,0.2795047104820559,
34.8,5.661109498586399e+29,0.2846208898233483,
34.7,5.7638715211789565e+29,0.2897874067963276,
34.6,5.8676160467765594e+29,0.2950033206021397,
34.5,5.972361512421491e+29,0.3002695581911257,
34.4,6.078089030239368e+29,0.3055851699466751,
34.4,6.184917014755608e+29,0.31095610933914564,
34.3,6.292610004094983e+29,0.3163705381646547,
