Radius,Mass,SolarMass,Comments
8.5,2.1088898395920267e+28,0.01060276440217208,
8.5,2.2670870437546763e+28,0.011398124905755033,m_chi = 3 GeV
8.4,2.4265643848870093e+28,0.01219992149264459,
8.4,2.5989491233430604e+28,0.013066611982619708,m_mu = 8 MeV
8.4,2.778894819552249e+28,0.013971316337618144,
8.3,2.961138765633061e+28,0.014887575493378886,alpha = 0.0005
8.3,3.15661532044175e+28,0.015870363602019856,
8.3,3.3595940232320453e+28,0.0168908699006136,
8.2,3.565399863414592e+28,0.017925590062416247,
8.2,3.7851418297804805e+28,0.01903037621810196,
8.2,4.012861589905222e+28,0.020175271945224848,
8.1,4.243367739657278e+28,0.02133417666997123,
8.1,4.487848674953145e+28,0.022563341754415003,
8.1,4.74156024690339e+28,0.02383891526849366,
8.0,4.998460359566936e+28,0.025130519655942363,
8.0,5.268906712554623e+28,0.026490229826820626,
8.0,5.5483192836916535e+28,0.027895019023085235,
8.0,5.837886530395081e+28,0.029350862395148718,
7.9,6.131085239124282e+28,0.030824963494843045,
7.9,6.438269781810514e+28,0.03236938050181253,
7.9,6.7539805797453856e+28,0.03395666455377267,
7.9,7.080209555853913e+28,0.035596830346173516,
7.8,7.411592891254388e+28,0.03726291046382296,
7.8,7.757003572314772e+28,0.03899951519514717,
7.8,8.111534578387067e+28,0.040781973747546836,
7.8,8.474517514531061e+28,0.042606925663806236,
7.7,8.844664904124287e+28,0.04446789795939812,
7.7,9.2299372172138e+28,0.0464049131081639,
7.7,9.624215135515353e+28,0.048387205306763964,
7.7,1.0028225446475016e+29,0.050418428589617974,
7.7,1.044025849622771e+29,0.05248998741190401,
7.6,1.0859533197940922e+29,0.054597954740778894,
7.6,1.1295064769604249e+29,0.05678765595577802,
7.6,1.1740248101234999e+29,0.05902588286191552,
7.6,1.219468406143924e+29,0.06131062876540593,
7.6,1.2658441441309252e+29,0.06364223952392785,
7.6,1.312910809210219e+29,0.06600858769282146,
7.5,1.3611639017198375e+29,0.06843458530517031,
7.5,1.4108132030061767e+29,0.0709307794372135,
7.5,1.4614586912801458e+29,0.07347705838512547,
7.5,1.5129619873694215e+29,0.07606646492556166,
7.5,1.5654081538219652e+29,0.07870327570748945,
7.5,1.618409995503528e+29,0.08136802390666305,
7.4,1.6728006213472983e+29,0.0841025953417445,
7.4,1.7286279046991056e+29,0.0869093969180043,
7.4,1.7853138454091932e+29,0.08975936879885335,
7.4,1.8429697258107447e+29,0.09265810587283783,
7.4,1.901375373672761e+29,0.09559453864619209,
7.4,1.9603342939804103e+29,0.09855878803320313,
7.3,2.020542279719494e+29,0.1015858360844391,
7.3,2.082344116146866e+29,0.10469301740306013,
7.3,2.1450539967544268e+29,0.10784585202385252,
7.3,2.208600732938364e+29,0.11104076083149139,
7.3,2.2728471861380694e+29,0.11427084897627296,
7.3,2.3377837455970152e+29,0.11753563326279613,
7.2,2.4031381008109625e+29,0.12082142286631284,
7.2,2.4707167104726984e+29,0.12421904024498232,
7.2,2.5391694413368435e+29,0.12766060539652305,
7.2,2.608389072312878e+29,0.13114072761754036,
7.2,2.6782287796931026e+29,0.13465202512283067,
7.2,2.748712622595096e+29,0.13819570752112095,
7.2,2.8191074694775866e+29,0.1417349155091798,
7.1,2.8917599936424956e+29,0.14538763165623406,
7.1,2.965494712432244e+29,0.14909475678392375,
7.1,3.0400311878390763e+29,0.15284219144490074,
7.1,3.115101418367949e+29,0.15661646145640767,
7.1,3.190629613855301e+29,0.1604137563527049,
7.1,3.266399311370312e+29,0.16422319313073463,
7.0,3.342659914513443e+29,0.16805731093581916,
