Radius,Mass,SolarMass,Comments
12.0,2.1383089976640233e+28,0.010750673693635108,
12.0,2.310449058950235e+28,0.011616134031926772,m_chi = 2500 MeV
11.9,2.4852799617114534e+28,0.012495122984974627,
11.9,2.6740416668988035e+28,0.013444151165906502,m_mu = 10 MeV
11.8,2.866127492608561e+28,0.014409891868318555,
11.8,3.072401489727832e+28,0.015446965760320924,alpha = 0.001
11.7,3.28231547435745e+28,0.01650234024312443,
11.7,3.5067984218556124e+28,0.017630962402491766,
11.6,3.735130402165027e+28,0.018778936159703503,
11.6,3.978606568217601e+28,0.02000304961396481,
11.5,4.226320018898119e+28,0.02124846666112679,
11.5,4.488932091954964e+28,0.022568788798164725,
11.4,4.756846190652273e+28,0.02391576767547648,
11.4,5.0395802250017065e+28,0.02533725603319108,
11.3,5.327630472351608e+28,0.02678547246028963,
11.3,5.631534376178271e+28,0.02831339555645184,
11.3,5.945540393677754e+28,0.029892108565499013,
11.2,6.265488186896692e+28,0.03150069475563948,
11.2,6.601547167800291e+28,0.03319028239215832,
11.1,6.943339161013488e+28,0.03490869361997731,
11.1,7.301037821423417e+28,0.03670707803631682,
11.1,7.670596461193729e+28,0.03856509030263312,
11.0,8.046160377949895e+28,0.04045329501231722,
11.0,8.43773307783436e+28,0.042421986313898236,
11.0,8.841787438500148e+28,0.044453431063349154,
10.9,9.252542810019436e+28,0.04651856616399917,
10.9,9.678822173138162e+28,0.04866175049340453,
10.9,1.0118521749232447e+29,0.05087240698457741,
10.8,1.0565082116215644e+29,0.053117557145377796,
10.8,1.1027657737984418e+29,0.05544322643531632,
10.8,1.1502639657291484e+29,0.05783127027295869,
10.7,1.1986255524608224e+29,0.06026272259732641,
10.7,1.2486159565342114e+29,0.06277606619075975,
10.7,1.2997298516916341e+29,0.06534589500712086,
10.6,1.3517618015609814e+29,0.06796188042036105,
10.6,1.4055585688045342e+29,0.07066659471113797,
10.6,1.4605069772567242e+29,0.07342920951516964,
10.6,1.5165583945706361e+29,0.07624727976725168,
