Radius,Mass,SolarMass,Comments
4.2,2.069497679170787e+28,0.010404714324639451,
4.2,2.2413302666477404e+28,0.01126862879159246,m_chi = 5 GeV
4.1,2.4109789300305444e+28,0.012121563248016814,
4.1,2.600426333731909e+28,0.013074038882513366,m_mu = 12 MeV
4.1,2.798489295062536e+28,0.014069830543300832,
4.1,3.00642773104231e+28,0.01511527265481302,alpha = 0.001
4.1,3.2226886238742545e+28,0.016202557183882624,
4.1,3.4482838510815817e+28,0.017336771498650483,
4.1,3.6832940640701255e+28,0.018518321086325416,
4.1,3.9278459272347327e+28,0.019747842771416453,
4.0,4.174692477925938e+28,0.0209889013470384,
4.0,4.441553815860273e+28,0.022330587309503633,
4.0,4.718005907812061e+28,0.02372049224641559,
4.0,5.0056315716699165e+28,0.02516657401543447,
4.0,5.302894445258215e+28,0.026661108322062414,
4.0,5.6098422880390575e+28,0.028204335284258707,
4.0,5.92740522475165e+28,0.029800931245609095,
4.0,6.255031562137623e+28,0.031448122484352053,
4.0,6.5917471193276405e+28,0.03314101115800724,
4.0,6.937520617901696e+28,0.034879440009561065,
4.0,7.292700259197911e+28,0.03666515967419764,
3.9,7.652449591102996e+28,0.038473854153358446,
3.9,8.035482621539285e+28,0.040399610968020534,
3.9,8.42868201095195e+28,0.04237648069860206,
3.9,8.833358579719371e+28,0.04441105369391338,
3.9,9.248168986209915e+28,0.046496576099597356,
3.9,9.672699306747448e+28,0.04863096685142004,
3.9,1.0106692326854526e+29,0.05081293276447725,
3.9,1.055047527604055e+29,0.053044119034894664,
3.9,1.1004479745492444e+29,0.055326695553003735,
3.9,1.1465453927862464e+29,0.05764431336280776,
3.9,1.1932864508107873e+29,0.05999429114181937,
3.8,1.2394702927509878e+29,0.062316254034740455,
3.8,1.2894706227159852e+29,0.06483009666747035,
3.8,1.3404984382783159e+29,0.06739559770127279,
3.8,1.392434240306727e+29,0.07000674913558205,
3.8,1.4451762131420395e+29,0.07265843203328504,
3.8,1.4988165734188477e+29,0.07535528272593502,
3.8,1.5531624867468577e+29,0.07808760617128495,
3.8,1.6083533491324844e+29,0.08086241071555979,
3.8,1.664209556021229e+29,0.0836706664666279,
3.8,1.7205733552872233e+29,0.08650444219644159,
3.8,1.7768633425058218e+29,0.08933450691331431,
3.7,1.8325731623439986e+29,0.09213540283278021,
3.7,1.8927937523895176e+29,0.09516308458469168,
3.7,1.9537392996069306e+29,0.09822721466098192,
3.7,2.0153867896187375e+29,0.10132663597882038,
3.7,2.0775887103361755e+29,0.10445393214359856,
3.7,2.1403470393084968e+29,0.1076092025796127,
3.7,2.2033753833424438e+29,0.11077804843350647,
3.7,2.2667189012115933e+29,0.11396274013130181,
3.7,2.3300090568789345e+29,0.11714474896324456,
3.7,2.392480224993478e+29,0.12028558195040111,
3.6,2.4542696361995393e+29,0.12339213857212364,
3.6,2.5215700414956648e+29,0.12677576880320082,
3.6,2.5892131536118227e+29,0.1301766291408659,
3.6,2.6570923504195073e+29,0.13358935899545032,
3.6,2.7250149813768223e+29,0.1370042725679649,
3.6,2.7930825259123203e+29,0.1404264718910166,
3.6,2.8607955184839252e+29,0.14383084557485798,
3.6,2.9281208119072684e+29,0.14721572709438252,
3.6,2.9941239392931842e+29,0.15053413470553967,
3.5,3.0572718099913113e+29,0.15370898994425897,
3.5,3.1284930178726268e+29,0.15728974448831706,
3.5,3.199574577429823e+29,0.16086347800049386,
3.5,3.2703372289733454e+29,0.16442117792726724,
3.5,3.340876614179387e+29,0.16796765279936585,
3.5,3.410788003243079e+29,0.17148255421031067,
3.5,3.479821739369713e+29,0.17495333028505342,
3.5,3.547545546513159e+29,0.1783582476879416,
3.5,3.610630761979196e+29,0.18152995283957746,
3.4,3.678905208128045e+29,0.18496255445590976,
3.4,3.75097336654119e+29,0.18858589072605275,
3.4,3.8223970393687275e+29,0.19217682450320397,
3.4,3.892999740010154e+29,0.19572648265511078,
3.4,3.962663885632681e+29,0.19922895352602718,
3.4,4.03102273639676e+29,0.20266579871275814,
3.4,4.0972045161168506e+29,0.20599318834172198,
3.4,4.157755479610314e+29,0.20903748012118217,
3.3,4.2237719870334e+29,0.2123565604340573,
3.3,4.294448587165083e+29,0.21590993399522787,
3.3,4.3640270049030756e+29,0.2194080947663688,
3.3,4.432474510882215e+29,0.2228493972288695,
3.3,4.499362408081906e+29,0.22621228798802945,
3.3,4.564067137100563e+29,0.22946541664658435,
3.3,4.625680230822031e+29,0.2325631086386139,
3.2,4.677783475313868e+29,0.23518267849742924,
3.2,4.746375239204249e+29,0.2386312337458144,
3.2,4.8134726726502615e+29,0.24200465925843445,
3.2,4.8791722796897315e+29,0.24530780692256063,
3.2,4.942972178325915e+29,0.24851544385751204,
3.2,5.004547579860764e+29,0.2516112408175346,
3.2,5.062946017842567e+29,0.2545473111031959,
3.2,5.114782998368372e+29,0.2571534941361675,
3.1,5.168629519341534e+29,0.25986070987136917,
3.1,5.232095887679298e+29,0.26305157806331314,
3.1,5.293585420655155e+29,0.2661430578509379,
3.1,5.3531098720878164e+29,0.26913574017535524,
3.1,5.410047897889228e+29,0.27199838601755794,
3.1,5.463864058056258e+29,0.2747040753170567,
3.1,5.51191197320176e+29,0.2771197573253775,
3.0,5.553602232101058e+29,0.2792157984967852,
3.0,5.61219984977834e+29,0.28216188284456206,
3.0,5.668793255729241e+29,0.28500720239966015,
3.0,5.722957403908774e+29,0.2877303873257302,
3.0,5.774332313627914e+29,0.29031333904614953,
3.0,5.8223152159045284e+29,0.29272575243361126,
3.0,5.864902364026472e+29,0.2948668860747346,
2.9,5.8951798197627e+29,0.2963891312097888,
2.9,5.9482570822590526e+29,0.29905767130513083,
2.9,5.999068312496247e+29,0.30161228318231503,
2.9,6.047225091091182e+29,0.30403343846612274,
2.9,6.0924962158594704e+29,0.30630951311510657,
2.9,6.134183499621229e+29,0.30840540470694966,
2.9,6.170359870640073e+29,0.31022422677928974,
2.8,6.189181358850456e+29,0.3111705057240048,
2.8,6.236342245994986e+29,0.31354159105052715,
2.8,6.2809710117830826e+29,0.3157853701248407,
2.8,6.3230332501639535e+29,0.31790011313041494,
2.8,6.361802846059177e+29,0.3198493135273593,
2.8,6.396924659284733e+29,0.321615116102802,
2.8,6.426894337626857e+29,0.3231218872612799,
2.8,6.442181280706661e+29,0.32389046157399,
2.7,6.474561330362432e+29,0.3255184178161102,
2.7,6.513052142604223e+29,0.327453601940886,
2.7,6.548726066307346e+29,0.32924716271027377,
2.7,6.581230585197329e+29,0.33088137683244484,
2.7,6.610186213879596e+29,0.332337165102041,
2.7,6.634194415456476e+29,0.33354421394954625,
2.7,6.648493060350802e+29,0.3342631000679136,
2.6,6.66234725752178e+29,0.3349596409010447,
2.6,6.694882351223615e+29,0.3365953922183818,
2.6,6.724688499375796e+29,0.33809394164785295,
2.6,6.751380020778809e+29,0.33943589848058364,
2.6,6.77449278020071e+29,0.34059792761190094,
2.6,6.793192346484303e+29,0.34153807674631986,
2.6,6.804946323137562e+29,0.3421290257987713,
2.5,6.800628787233191e+29,0.3419119551147909,
2.5,6.827720866318505e+29,0.3432740505941933,
2.5,6.852128401592464e+29,0.34450117655065177,
2.5,6.873546387967488e+29,0.3455779983895167,
2.5,6.89168131812209e+29,0.34648975958381545,
2.5,6.905922647855496e+29,0.3472057640952989,
2.5,6.914969411952063e+29,0.3476606039191585,
2.5,6.91265609428209e+29,0.3475442983550573,
2.4,6.913470044573953e+29,0.347585220943889,
2.4,6.933134106947717e+29,0.3485738615861094,
2.4,6.95011003470897e+29,0.3494273521723966,
2.4,6.964118554673933e+29,0.35013165181869943,
2.4,6.974634651680518e+29,0.35066036458926686,
2.4,6.9812069359224e+29,0.35099079617508294,
2.4,6.981764286033156e+29,0.3510188177995553,
2.4,6.96401955701026e+29,0.35012667456059626,
2.3,6.970164245889589e+29,0.35043560813924524,
2.3,6.983429577674142e+29,0.3511025428694893,
2.3,6.994133755657496e+29,0.3516407116972094,
2.3,7.001819146877399e+29,0.3520271064292307,
2.3,7.006235538453367e+29,0.35224914723244677,
2.3,7.006694931926168e+29,0.3522722439379672,
2.3,7.001439158177665e+29,0.35200800191944015,
2.3,6.980746393258476e+29,0.35096764169223105,
2.2,6.976134643917633e+29,0.3507357789802731,
2.2,6.984228313310734e+29,0.3511427005183878,
2.2,6.989799628181446e+29,0.3514228068467293,
2.2,6.992665395167473e+29,0.3515668876403958,
2.2,6.99252608780574e+29,0.351559883750917,
2.2,6.988840873564056e+29,0.3513746040002039,
2.2,6.980587223008581e+29,0.35095963916584116,
2.2,6.963675466287705e+29,0.3501093748762043,
2.1,6.936695607212904e+29,0.3487529214285019,
2.1,6.9407917303134e+29,0.34895886024702866,
2.1,6.942650351765084e+29,0.3490523052672239,
2.1,6.942076112272961e+29,0.34902343450341683,
2.1,6.938879837188272e+29,0.3488627369124319,
2.1,6.932730725871215e+29,0.3485535809890002,
2.1,6.923099188815261e+29,0.3480693408152469,
