Radius,Mass,SolarMass,Comments
14.2,2.001227159301761e+28,0.010061473902975168,
14.1,2.1986386070098673e+28,0.011053989979939,m_chi = 2500 MeV
14.1,2.4167978613849145e+28,0.01215081881038167,
14.1,2.6481522077134485e+28,0.013313987972415528,m_mu = 8 MeV
14.0,2.885487697968329e+28,0.014507228245190192,
14.0,3.1444542966040618e+28,0.015809222205148625,alpha = 0.001
13.9,3.41012104097113e+28,0.0171449021667729,
13.9,3.6978200660271793e+28,0.018591352770372944,
13.8,3.992930040662772e+28,0.02007506305008935,
13.8,4.310615536408734e+28,0.021672275195619577,
13.7,4.636837931574246e+28,0.023312407901328533,
13.7,4.986072611117305e+28,0.02506823836660284,
13.6,5.344125082455035e+28,0.026868401621191727,
13.6,5.726072569592229e+28,0.028788700701821157,
13.6,6.124775574368205e+28,0.03079324069566719,
13.5,6.533192623440118e+28,0.032846619524585806,
13.5,6.966108266034868e+28,0.035023168758345234,
13.4,7.410077152892393e+28,0.037255289858684724,
13.4,7.878602622082638e+28,0.03961087291142603,
13.4,8.365011897613367e+28,0.04205636952042919,
13.3,8.863613768705997e+28,0.0445631662579487,
13.3,9.387464778187794e+28,0.04719690687877221,
13.2,9.92283750456616e+28,0.04988857468359054,
13.2,1.0484897131827502e+29,0.052714414941314736,
13.2,1.1066262317865507e+29,0.055637316831903,
13.1,1.1659884966540924e+29,0.058621844980095136,
13.1,1.2280228146445488e+29,0.06174071466287324,
13.1,1.2921048767367806e+29,0.06496253779470992,
13.0,1.3574614485533742e+29,0.06824843884129583,
13.0,1.4254428414235069e+29,0.07166630675834625,
13.0,1.4956357219052238e+29,0.07519536057844262,
12.9,1.5671569481683821e+29,0.07879119900293524,
12.9,1.6413122733900995e+29,0.08251947075867769,
12.9,1.7175901913387125e+29,0.0863544590919413,
12.8,1.795416455659233e+29,0.09026729289387797,
12.8,1.8758794429401093e+29,0.09431269195274555,
12.8,1.958293788822648e+29,0.09845619853306424,
12.7,2.0424711028265205e+29,0.10268834101691907,
12.7,2.1293240627181057e+29,0.10705500566707418,
12.7,2.2181605096020685e+29,0.11152139314238654,
12.7,2.3090807155911725e+29,0.11609254477582566,
12.6,2.4017622109786382e+29,0.12075224791245037,
12.6,2.497036537465675e+29,0.12554230957595147,
12.6,2.594288810683263e+29,0.1304318155195205,
12.5,2.6931102077294013e+29,0.13540021154999501,
12.5,2.794868398176039e+29,0.14051625933514525,
12.5,2.8985422308372754e+29,0.14572861894606712,
12.5,3.0040984781906023e+29,0.15103561981853203,
12.4,3.1114188571168125e+29,0.15643131508882918,
12.4,3.221477716086856e+29,0.16196469160818783,
12.4,3.3334290101996096e+29,0.16759321318248413,
12.4,3.447090754937199e+29,0.17330773026330812,
12.3,3.5627358858535466e+29,0.17912196510073133,
12.3,3.680973893042331e+29,0.18506656073616545,
12.3,3.800952041810752e+29,0.1910986446360358,
12.3,3.922464723704109e+29,0.19720787952257962,
12.2,4.0461975517525065e+29,0.20342873563361016,
12.2,4.172218829654352e+29,0.2097646470414455,
12.2,4.299885851005743e+29,0.21618330070416,
12.1,4.428477054010149e+29,0.2226484190050351,
12.1,4.560404792968254e+29,0.2292812867254024,
12.1,4.693854256282325e+29,0.2359906614521028,
12.1,4.8286003518177305e+29,0.24276522633573303,
12.0,4.964666632822198e+29,0.24960616555164392,
12.0,5.1036525095496596e+29,0.25659389188283854,
12.0,5.243960354202264e+29,0.2636480821620042,
12.0,5.385288784157043e+29,0.27075358391940885,
11.9,5.528376873492314e+29,0.2779475552283717,
11.9,5.6738233768074805e+29,0.28526009938700253,
11.9,5.820418883759992e+29,0.29263041145097995,
11.8,5.967029946820605e+29,0.300001505621951,
11.8,6.117239529306215e+29,0.307553520829875,
11.8,6.268650614628896e+29,0.3151659434202562,
11.8,6.420660321901649e+29,0.3228084626396002,
11.7,6.573181479824777e+29,0.33047669581823913,
11.7,6.728855754879987e+29,0.3383034567561582,
11.7,6.885126548128625e+29,0.3461602085534753,
11.7,7.041585898177341e+29,0.35402644033068575,
11.6,7.199852084768648e+29,0.36198351356302905,
11.6,7.359968048083507e+29,0.3700335871334091,
11.6,7.520439692436494e+29,0.37810154310892374,
11.5,7.680372640397925e+29,0.3861424153040686,
11.5,7.843908015048502e+29,0.39436440497981406,
11.5,8.00752383461905e+29,0.40259043914625686,
11.5,8.170554799764074e+29,0.410787068866972,
11.4,8.335481574132423e+29,0.41907901327965924,
11.4,8.501757480799975e+29,0.4274387873705367,
11.4,8.667865499730902e+29,0.43579012065012074,
11.3,8.833270643737833e+29,0.4441061158239232,
11.3,9.00190571885094e+29,0.452584500696377,
11.3,9.170025492725352e+29,0.461036978015352,
11.2,9.336002525201584e+29,0.46938172575171355,
11.2,9.506255840865945e+29,0.47794147012900673,
11.2,9.675976000673679e+29,0.48647440928475005,
11.2,9.844198532354646e+29,0.49493205290873027,
11.1,1.0013406088914578e+30,0.50343922015659,
11.1,1.0184207714224337e+30,0.5120265316352105,
11.1,1.0353494534572384e+30,0.5205376839905673,
11.0,1.0521989764156063e+30,0.529009037916343,
11.0,1.0693091434811297e+30,0.5376114346310354,
11.0,1.0862972354779978e+30,0.5461524562483648,
10.9,1.1030218148240988e+30,0.55456099287285,
10.9,1.1201449003320524e+30,0.5631698845309464,
10.9,1.137091645787152e+30,0.5716901185455766,
10.8,1.1536941227269661e+30,0.5800372663282886,
10.8,1.1707478033096641e+30,0.5886112636046577,
10.8,1.1876328445196904e+30,0.5971004748716392,
10.7,1.2040406761416948e+30,0.6053497617605302,
10.7,1.220995744601349e+30,0.613874180292282,
10.7,1.2377458253450796e+30,0.6222955381322672,
10.7,1.2540572682439283e+30,0.6304963641246496,
10.6,1.27073489245302e+30,0.6388812933398793,
