Radius,Mass,SolarMass,Comments
14.0,2.006185512042056e+28,0.010086402775475395,
13.9,2.1200201196514276e+28,0.010658723577935784,m_chi = 2 GeV
13.8,2.23757960546748e+28,0.011249771772083859,
13.7,2.3589479722958515e+28,0.01185996969480066,m_mu = 14 MeV
13.6,2.4841847384610913e+28,0.012489616583514787,
13.5,2.6133852160890573e+28,0.013139191634434676,alpha = 0.001
13.4,2.7465172897785884e+28,0.013808533382496673,
13.3,2.8836675677736624e+28,0.014498077263819317,
13.2,3.024851798133712e+28,0.015207902454166474,
13.2,3.1730266616768707e+28,0.015952874116022475,
13.1,3.3225717915861797e+28,0.01670473500043328,
13.0,3.476146279190213e+28,0.01747685409346512,
12.9,3.634320887060128e+28,0.018272100990749763,
12.9,3.799343299373186e+28,0.01910177626633075,
12.8,3.965912700900974e+28,0.019939229265464927,
12.7,4.137257131812126e+28,0.020800689451041354,
12.6,4.312809774694723e+28,0.021683307062316356,
12.6,4.495409068429567e+28,0.022601352782451317,
12.5,4.680240099031387e+28,0.023530618899101994,
12.5,4.8717809935497945e+28,0.02449361987707287,
12.4,5.066008078417122e+28,0.025470126085556166,
12.3,5.2645160834020495e+28,0.02646815527100075,
12.3,5.470373364193336e+28,0.027503134058287255,
12.2,5.678454226333784e+28,0.028549292238983327,
12.1,5.891447409311244e+28,0.029620147859785038,
12.1,6.111631519693959e+28,0.03072715696175947,
12.0,6.334318875586534e+28,0.03184675151124451,
12.0,6.5643097971109305e+28,0.033003065847717096,
11.9,6.796872030246259e+28,0.03417230784437535,
11.9,7.036659863871246e+28,0.03537787764641149,
11.8,7.279354320490381e+28,0.03659806093760875,
11.8,7.52924112615246e+28,0.03785440485747842,
11.7,7.782241801895459e+28,0.039126404232757456,
11.7,8.041945153170379e+28,0.040432102328659514,
11.6,8.305480794370778e+28,0.04175706784500139,
11.6,8.57557321694964e+28,0.04311499857692126,
11.5,8.849333126495293e+28,0.044491368157341844,
11.5,9.130212078325164e+28,0.04590352980555638,
11.5,9.416166386581738e+28,0.04734120858009923,
11.4,9.705908147024496e+28,0.04879792934652838,
11.4,1.000210182771607e+29,0.050287088123258265,
11.3,1.0302579588941183e+29,0.051797785766421224,
11.3,1.0610062002541406e+29,0.05334370036471295,
11.3,1.0922280331271544e+29,0.05491342549658895,
11.2,1.1239251383526867e+29,0.0565070456688128,
11.2,1.1562581732464877e+29,0.05813263817227188,
11.1,1.1889438982091486e+29,0.05977596270533678,
11.1,1.2224483515902995e+29,0.061460450054816464,
11.1,1.2564114234026843e+29,0.06316799514342304,
11.0,1.2907563330845236e+29,0.0648947377116402,
11.0,1.3259001926216044e+29,0.0666616486989243,
11.0,1.361517550638374e+29,0.0684523655424019,
10.9,1.3974945862062082e+29,0.07026116572178019,
10.9,1.4343244245734445e+29,0.07211284185889615,
10.9,1.4716095685498368e+29,0.07398740917797067,
10.8,1.5091804912806999e+29,0.07587634445855705,
10.8,1.5477262254505422e+29,0.07781428986679448,
10.8,1.586694233760091e+29,0.0797734657496275,
10.8,1.6260314729128828e+29,0.08175120527465474,
10.7,1.6661015720807875e+29,0.08376579045152274,
10.7,1.706769871427391e+29,0.0858104510521564,
10.7,1.747894557729289e+29,0.08787805720107032,
10.6,1.789416438033447e+29,0.08996563288252624,
10.6,1.831857870793029e+29,0.09209944046219351,
10.6,1.874692070860274e+29,0.0942529950155995,
10.6,1.9179136160377296e+29,0.09642602393352083,
10.5,1.9618444939971262e+29,0.09863471563585349,
10.5,2.0064720973415032e+29,0.10087843626654112,
10.5,2.0514751681143684e+29,0.10314103409323118,
10.4,2.0967453455291827e+29,0.1054170611125783,
10.4,2.143081318689422e+29,0.10774667263395786,
10.4,2.189918952977577e+29,0.1101015059315021,
10.4,2.2370975531463192e+29,0.11247348180725586,
10.3,2.2845403892245576e+29,0.11485874254522661,
10.3,2.333089216998403e+29,0.11729960869775781,
10.3,2.382092311916467e+29,0.11976331382184346,
10.3,2.431469671456939e+29,0.1222458356690266,
10.2,2.4809398194252158e+29,0.12473302259553623,
10.2,2.5317368706691457e+29,0.12728692160226976,
10.2,2.582875644127475e+29,0.1298580012130455,
10.2,2.6344448357037775e+29,0.13245072074931008,
10.2,2.6862132655357824e+29,0.13505345729189452,
10.1,2.738778289177298e+29,0.13769624379976358,
10.1,2.7921542008537056e+29,0.14037979893683789,
10.1,2.8458360748997996e+29,0.14307873679737554,
10.1,2.8998170466987588e+29,0.1457927122523257,
10.0,2.9541685788838977e+29,0.14852531819426332,
10.0,3.009593392750705e+29,0.15131188500506307,
10.0,3.0654258140416512e+29,0.1541189448990272,
10.0,3.1215946038644405e+29,0.15694291623250076,
10.0,3.177767978744111e+29,0.15976711808668229,
9.9,3.235031062463368e+29,0.1626461067100738,
9.9,3.292953613433804e+29,0.16555825105247882,
9.9,3.351166383846676e+29,0.16848498661873682,
9.9,3.4096489586650305e+29,0.1714252870118165,
9.8,3.468166448580284e+29,0.17436734281449393,
9.8,3.528060098616153e+29,0.17737858716018864,
9.8,3.588279900422243e+29,0.18040622928216404,
9.8,3.648865660040828e+29,0.18345227048973492,
9.8,3.7095756420773444e+29,0.1865045571682928,
9.7,3.770428058312512e+29,0.18956400494281106,
9.7,3.832647583680891e+29,0.1926921862081896,
9.7,3.8951618037537796e+29,0.1958351836980281,
9.7,3.9578740810310954e+29,0.19898813881503746,
9.7,4.0206666513856595e+29,0.20214513078862037,
9.6,4.083774448201175e+29,0.20531797125194443,
9.6,4.1481486654323676e+29,0.20855448292772083,
9.6,4.2127383817319246e+29,0.21180182914690418,
9.6,4.277535318006041e+29,0.21505959366546207,
9.6,4.34241894972433e+29,0.21832171692932778,
9.5,4.407401793806415e+29,0.22158882824567191,
9.5,4.473775878220041e+29,0.22492588628557267,
9.5,4.540359985674845e+29,0.2282735035532853,
9.5,4.607139458697688e+29,0.2316309431220557,
9.5,4.673911378741063e+29,0.23498800295329625,
9.4,4.740520601819807e+29,0.2383368829471999,
9.4,4.80877418661858e+29,0.24176843572742984,
9.4,4.8772375656954994e+29,0.24521053623406228,
9.4,4.945806083293224e+29,0.2486579227397297,
9.4,5.0143388161073804e+29,0.25210351011097937,
9.3,5.0822526698161636e+29,0.255517982393975,
9.3,5.152247356985967e+29,0.25903707174388974,
9.3,5.2224159226791886e+29,0.262564903101015,
9.3,5.2926060326273165e+29,0.26609381762832157,
9.3,5.362731691783563e+29,0.2696194917940454,
9.3,5.432383247460876e+29,0.2731213296863185,
9.2,5.503269297689269e+29,0.2766852336696465,
9.2,5.574934733406744e+29,0.28028832244377794,
9.2,5.646603196168902e+29,0.2838915634071846,
9.2,5.718170115672368e+29,0.28748969912882694,
9.2,5.789436293423494e+29,0.2910727146014828,
9.1,5.860806545906181e+29,0.29466096258955154,
9.1,5.933797672907809e+29,0.29833070250919097,
9.1,6.006763921747805e+29,0.30199919164141803,
9.1,6.079610444392995e+29,0.30566166135711387,
9.1,6.152187368183138e+29,0.3093105765803488,
9.0,6.223833166419968e+29,0.3129126780502749,
9.0,6.297969428927084e+29,0.3166399913990489,
9.0,6.372033120512006e+29,0.32036365613433915,
9.0,6.445965492621277e+29,0.3240807185832718,
9.0,6.519621148243128e+29,0.32778386868995113,
9.0,6.592639823067322e+29,0.3314549936182665,
8.9,6.666320055078024e+29,0.3351593793402727,
8.9,6.741326084378459e+29,0.33893042153737846,
8.9,6.816138940407719e+29,0.34269175165448557,
8.9,6.890673465174965e+29,0.3464390882440907,
8.9,6.964743396732025e+29,0.3501630667034703,
8.8,7.037827163232462e+29,0.3538374642148045,
8.8,7.113514829593681e+29,0.35764277675181905,
8.8,7.188970942828279e+29,0.3614364476032317,
8.8,7.264187269605525e+29,0.3652180628258182,
8.8,7.33894581170315e+29,0.3689766622274082,
8.8,7.412654079326413e+29,0.3726824574824742,
8.7,7.48748939460005e+29,0.37644491677224984,
8.7,7.563405407193275e+29,0.3802617097633622,
8.7,7.639030022637505e+29,0.3840638523196332,
8.7,7.714242651303346e+29,0.3878452816140445,
8.7,7.788793981942591e+29,0.39159346314442384,
8.6,7.862123816193263e+29,0.39528023208613683,
8.6,7.938331777037579e+29,0.3991117032195866,
8.6,8.01412163658841e+29,0.4029221536746309,
8.6,8.089523748460536e+29,0.40671310952541656,
8.6,8.164315963837295e+29,0.4104734019023275,
8.6,8.237855571209689e+29,0.41417071750677165,
8.5,8.312488356163381e+29,0.41792299427669083,
8.5,8.388365867830833e+29,0.4217378515752052,
8.5,8.463722053379168e+29,0.42552649841021456,
8.5,8.538538997661852e+29,0.4292880340704802,
8.5,8.61243612874846e+29,0.43300332472340164,
8.4,8.684815789659399e+29,0.43664232225537447,
8.4,8.760490526528355e+29,0.4404469847425015,
8.4,8.835681408879546e+29,0.4442273207078705,
8.4,8.910265672094161e+29,0.44797715797356263,
8.4,8.984080115374621e+29,0.45168829137127303,
8.4,9.056419672508742e+29,0.4553252726248739,
8.3,9.129519174662274e+29,0.4590004612700992,
8.3,9.204295557073012e+29,0.46275995762056366,
8.3,9.278402063543285e+29,0.4664857749393306,
8.3,9.351860407331855e+29,0.470179004893507,
8.3,9.424222974877095e+29,0.4738171430305226,
8.2,9.49439518596589e+29,0.4773451576654545,
8.2,9.568559571157306e+29,0.48107388492495246,
8.2,9.64203910524427e+29,0.4847681802536083,
8.2,9.714846609593743e+29,0.4884286882651454,
8.2,9.78667389496661e+29,0.4920399142768531,
8.2,9.856956361719791e+29,0.49557347218299597,
8.1,9.927346619935969e+29,0.49911244946887723,
8.1,1.0000066559275313e+30,0.5027685550163555,
8.1,1.007206109720805e+30,0.5063881899048793,
8.1,1.0143110885475054e+30,0.5099603260671218,
8.1,1.0213034921318502e+30,0.5134758633141528,
