Radius,Mass,SolarMass,Comments
56.3,2.0779586328007313e+28,0.010447253055810613,
55.7,2.222535824548987e+28,0.011174136875560516,m_chi = 1000 MeV
55.2,2.3744798558838177e+28,0.011938058601728595,
54.6,2.5276071430725575e+28,0.012707929326659413,m_mu = 10 MeV
54.0,2.6849044925023807e+28,0.013498765673717349,
53.5,2.8491364279175085e+28,0.014324466706473143,alpha = 0.0005
52.9,3.014586537889973e+28,0.015156292297083825,
52.4,3.1868102904914015e+28,0.016022173406191057,
51.9,3.3629997431499605e+28,0.016907992675464858,
51.3,3.540571514237433e+28,0.01780076176087196,
50.8,3.7247855089497786e+28,0.018726925635745493,
50.3,3.9130113061599398e+28,0.019673259457817695,
49.8,4.10527021475035e+28,0.020639870360735793,
49.3,4.301615138352109e+28,0.021627024325551074,
48.9,4.504404828100911e+28,0.02264658033233238,
48.4,4.708917162095554e+28,0.023674797195050546,
47.9,4.917578799432858e+28,0.02472387531137686,
47.5,5.132675126694773e+28,0.025805304809928473,
47.1,5.351893771578625e+28,0.026907459887273125,
46.7,5.575287096131243e+28,0.02803060380156482,
46.3,5.802872042454304e+28,0.029174821731796398,
45.9,6.034693436652833e+28,0.03034033904802832,
45.5,6.270749874411822e+28,0.0315271486898533,
45.1,6.511121509405643e+28,0.03273565364205954,
44.7,6.755804740761487e+28,0.033965835800711344,
44.4,7.006762016996612e+28,0.0352275616741911,
44.0,7.2601213287748094e+28,0.03650136414668079,
43.7,7.519746988575474e+28,0.03780667163688021,
43.3,7.781883606258945e+28,0.03912460334971817,
43.0,8.050292472588561e+28,0.04047406974654882,
42.7,8.323107989582736e+28,0.04184569124978751,
42.4,8.600357839049394e+28,0.043239607033933605,
42.1,8.882060412859046e+28,0.044655909566913246,
41.8,9.168215174220716e+28,0.04609459614992818,
41.5,9.458920151986332e+28,0.047556159637940326,
41.2,9.754109500898235e+28,0.04904026898390264,
40.9,1.0053850179990601e+29,0.05054726083454299,
40.7,1.0359810611310317e+29,0.052085523435446535,
40.4,1.0668651423825194e+29,0.05363826759087578,
40.1,1.0982126140860632e+29,0.05521430940603635,
39.9,1.1301758486261597e+29,0.05682130963429661,
39.6,1.1624451260794319e+29,0.058443696635466655,
39.4,1.1953343304833551e+29,0.060097251406905736,
39.1,1.2285338917130643e+29,0.061766409839771955,
38.9,1.2623477408605358e+29,0.06346645253195253,
38.7,1.2966292605205243e+29,0.06519000807041349,
38.4,1.3312344111812949e+29,0.06692983464963774,
38.2,1.3664594459193076e+29,0.0687008268436052,
38.0,1.4021510221884816e+29,0.07049527512259836,
37.8,1.4383147150717078e+29,0.07231345978238853,
37.6,1.4749546384338701e+29,0.07415558765378934,
37.4,1.5120662577168086e+29,0.07602143075499289,
37.2,1.5496565542183883e+29,0.07791134008136692,
37.0,1.5877229417481543e+29,0.0798251856082531,
36.8,1.6262664781014133e+29,0.08176302051791921,
36.6,1.665295442804742e+29,0.08372526107615594,
36.4,1.7048021222509162e+29,0.08571151946962877,
36.2,1.744791076682111e+29,0.08772202497144851,
